Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption by OXCs (Joule),1, ,5.088230666332579E11,5.456577120749575E11,4.9420796737534503E11,4.662176275472074E11,4.677559143006062E11,5.4197818369331555E11,4.883526367924386E11,5.3565712696861017E11,4.894386439858621E11,4.9269621181628156E11
Total energy consumption by OXCs (Joule),2, ,3.609099894522999E11,3.764562237588208E11,3.4791127785476074E11,3.6433707718433716E11,3.5448325779962164E11,3.5155520228154785E11,3.2396389503184607E11,3.2880302837585034E11,3.634057680597694E11,3.629508582856162E11
Total energy consumption by OXCs (Joule),3, ,2.7125437153665277E11,2.6502074411769843E11,2.4907546366962878E11,2.5869604548301233E11,2.9827190848241187E11,2.9831398859955237E11,2.6292956081889288E11,2.7195252806338608E11,2.8923774189335876E11,2.6597806733128958E11
Total energy consumption by OXCs (Joule),4, ,2.121566358280554E11,2.1856475032610443E11,2.240484586571214E11,2.144487806622853E11,2.016401425014366E11,2.154544246867081E11,1.980143737711795E11,2.2675514455383524E11,2.180569319888027E11,2.08197365234959E11


Total energy consumption by Amplifiers (Joule),0, ,1.6524489747261508E11,1.5872464410030008E11,1.6872226958752875E11,1.7015264487116083E11,1.8082006450802786E11,1.637971279090441E11,1.6409449931375162E11,1.6149052859600806E11,1.7618400321628156E11,1.5196545860014444E11
Total energy consumption by Amplifiers (Joule),1, ,9.60614681780939E10,1.03015536012248E11,9.330226171842618E10,8.801792357611948E10,8.83083390342627E10,1.0232087234284674E11,9.219682509546625E10,1.0112751058464163E11,9.240185401866537E10,9.301685512416107E10
Total energy consumption by Amplifiers (Joule),2, ,6.813673699254158E10,7.107173383143643E10,6.568269077811654E10,6.878374201393896E10,6.6923424706547966E10,6.637063272360156E10,6.116162853891135E10,6.207521576444872E10,6.860791877065302E10,6.852203567364211E10
Total energy consumption by Amplifiers (Joule),3, ,5.12105187210761E10,5.0033662872337746E10,4.702332951522744E10,4.883961355249892E10,5.6311199951463974E10,5.631914431975034E10,4.9638865248004654E10,5.134232473651264E10,5.460562612193573E10,5.021439735441837E10
Total energy consumption by Amplifiers (Joule),4, ,4.0053368759828476E10,4.1263166285338715E10,4.2298443787249146E10,4.048610621316314E10,3.80679442472858E10,4.067596325342923E10,3.738342994291903E10,4.280944306811005E10,4.116729450151521E10,3.930589213970551E10


