Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots per link,1,<1-2>,17,-, ,0.015453779151447036,0.015786608600979857,0.02125874125874126,0.02026479329910835,0.017364939360529217,0.02291950886766712,0.023628462791960892,0.016902944383860415,0.015164279696714406,0.015834015834015835
Requisitons per number of slots per link,1,<1-2>,18,-, ,0.01938746838999719,0.013881328252585737,0.026853146853146853,0.015941637395298566,0.026185226019845645,0.01637107776261937,0.015752308527973928,0.016357688113413305,0.017972479640550407,0.02184002184002184
Requisitons per number of slots per link,1,<1-2>,19,-, ,0.010115200899128969,0.009526401741970605,0.013146853146853148,0.017022426371251013,0.015711135611907387,0.01227830832196453,0.013579576317218903,0.015812431842966195,0.008986239820275204,0.006279006279006279
Requisitons per number of slots per link,1,<1-2>,20,-, ,0.02163529081202585,0.02476864452912357,0.02293706293706294,0.024047554714941907,0.029217199558985666,0.02673942701227831,0.025529603476371537,0.02808069792802617,0.02049985959000281,0.020202020202020204
Requisitons per number of slots per link,1,<1-2>,21,-, ,0.004776622646810902,0.005715841045182362,0.0075524475524475524,0.008376114563631451,0.009647188533627343,0.01145975443383356,0.00977729494839761,0.011177753544165758,0.008143779837124403,0.006006006006006006
Requisitons per number of slots per link,1,<1-2>,22,-, ,0.00449564484405732,0.005715841045182362,0.005594405594405594,0.005674142123750338,0.008269018743109152,0.009004092769440655,0.010048886474741989,0.0062704471101417665,0.004773939904521202,0.005733005733005733
Requisitons per number of slots per link,1,<1-2>,23,-, ,0.007305422871593144,0.008982035928143712,0.0033566433566433566,0.006214536611726561,0.009371554575523704,0.011732605729877216,0.011950027159152634,0.0054525627044711015,0.006458859870822803,0.005187005187005187
Requisitons per number of slots per link,1,<1-2>,24,-, ,0.005900533857825232,0.005988023952095809,0.003916083916083916,0.0029721696838692245,0.005512679162072767,0.003819918144611187,0.008147745790331342,0.007088331515812432,0.002527379949452401,0.004095004095004095
Requisitons per number of slots per link,1,<1-2>,25,-, ,0.004214667041303737,0.005443658138268917,0.0036363636363636364,0.0016211834639286678,0.005512679162072767,0.007094133697135061,0.007332971211298208,0.003544165757906216,0.001965739960685201,0.001911001911001911
Requisitons per number of slots per link,1,<1-2>,26,-, ,0.005900533857825232,0.006260206859009254,0.004755244755244755,0.0016211834639286678,0.006615214994487321,0.0019099590723055935,0.006789788158609452,0.0024536532170119957,0.0011232799775344005,0.002457002457002457
Requisitons per number of slots per link,1,<1-2>,27,-, ,0.0033717336330429896,0.002177463255307567,0.0022377622377622378,0.0016211834639286678,0.006615214994487321,0.0030013642564802184,0.0038022813688212928,0.003271537622682661,5.616399887672002E-4,8.19000819000819E-4
Requisitons per number of slots per link,1,<1-2>,28,-, ,0.003933689238550154,0.003538377789874796,0.0033566433566433566,0.002431775195893002,0.003583241455347299,0.004092769440654843,0.004073872895165671,0.0029989094874591058,0.0011232799775344005,0.001638001638001638
Requisitons per number of slots per link,1,<1-2>,29,-, ,0.0028097780275358245,0.001633097441480675,0.0013986013986013986,0.0032423669278573357,0.0033076074972436605,0.001364256480218281,0.0027159152634437804,0.0019083969465648854,2.808199943836001E-4,2.73000273000273E-4
Requisitons per number of slots per link,1,<1-2>,32,-, ,0.001966844619275077,0.002177463255307567,0.0011188811188811189,8.105917319643339E-4,0.0013781697905181918,0.002728512960436562,2.7159152634437803E-4,0.0,2.808199943836001E-4,8.19000819000819E-4
Requisitons per number of slots per link,1,<1-2>,33,-, ,8.429334082607474E-4,0.001905280348394121,0.0,5.403944879762226E-4,5.512679162072767E-4,0.001364256480218281,5.431830526887561E-4,5.452562704471102E-4,2.808199943836001E-4,0.0
Requisitons per number of slots per link,1,<1-2>,34,-, ,0.0,8.165487207403375E-4,5.594405594405594E-4,5.403944879762226E-4,5.512679162072767E-4,0.0032742155525238743,0.0013579576317218902,8.178844056706652E-4,2.808199943836001E-4,2.73000273000273E-4
Requisitons per number of slots per link,1,<1-2>,35,-, ,2.809778027535825E-4,0.001633097441480675,2.797202797202797E-4,0.0,5.512679162072767E-4,0.00218281036834925,5.431830526887561E-4,2.726281352235551E-4,0.0,0.0
Requisitons per number of slots per link,1,<1-2>,36,-, ,2.809778027535825E-4,2.7218290691344586E-4,2.797202797202797E-4,2.701972439881113E-4,5.512679162072767E-4,0.0019099590723055935,5.431830526887561E-4,0.0,5.616399887672002E-4,5.46000546000546E-4
Requisitons per number of slots per link,1,<1-2>,40,-, ,2.809778027535825E-4,5.443658138268917E-4,0.0,0.0,2.756339581036384E-4,0.001091405184174625,2.7159152634437803E-4,0.0,0.0,0.0
Requisitons per number of slots per link,1,<2-1>,2,-, ,0.185978057265186,0.1535529539885652,0.16856311193437418,0.12382934443288242,0.17461182239171888,0.1448,0.14533622559652928,0.14454976303317535,0.159451465447701,0.16952380952380952
Requisitons per number of slots per link,1,<2-1>,3,-, ,0.09847471233609847,0.10754151919411925,0.08229690394284202,0.12825182101977106,0.10351402887496595,0.11706666666666667,0.08297180043383948,0.09505002632964718,0.102984673299274,0.12816326530612246
Requisitons per number of slots per link,1,<2-1>,4,-, ,0.07332084559807332,0.07133133678192213,0.09473405662873777,0.09417273673257023,0.09752111141378371,0.1016,0.08297180043383948,0.08451816745655608,0.0943802097337994,0.11183673469387755
Requisitons per number of slots per link,1,<2-1>,5,-, ,0.06877174203906877,0.07160359379254015,0.0643027255887801,0.07206035379812695,0.07736311631707982,0.088,0.07049891540130152,0.08478146392838336,0.08846464103253562,0.08816326530612245
Requisitons per number of slots per link,1,<2-1>,6,-, ,0.06368744982606368,0.06343588347399945,0.05583487695157449,0.06893860561914672,0.06020157995096704,0.06266666666666666,0.05911062906724512,0.058715113217482885,0.08308685130411401,0.06802721088435375
Requisitons per number of slots per link,1,<2-1>,7,-, ,0.06261707251806262,0.06098557037843724,0.0653612066684308,0.07986472424557753,0.0743666575864887,0.06453333333333333,0.056670281995661605,0.08135860979462875,0.07932239849421888,0.07129251700680272
Requisitons per number of slots per link,1,<2-1>,8,-, ,0.05458924270805459,0.06234685543152736,0.04525006615506748,0.07752341311134235,0.06646690275129392,0.06186666666666667,0.0650759219088937,0.07003686150605581,0.08362463027695617,0.05687074829931973
Requisitons per number of slots per link,1,<2-1>,9,-, ,0.046026224244046024,0.053090117070514566,0.053717914792273086,0.060093652445369405,0.06510487605557069,0.0536,0.05721258134490238,0.05766192733017378,0.0578112395805324,0.049523809523809526
Requisitons per number of slots per link,1,<2-1>,10,-, ,0.05405405405405406,0.05554043016607678,0.052394813442709715,0.055150884495317375,0.04658131299373468,0.0552,0.05422993492407809,0.05344918378093733,0.047593439096531326,0.049523809523809526
