Metrics,LoadPoint,link, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
External Fragmentation (Vertical),0,all, ,0.300412339416418,0.3057918980776677,0.3041191185975948,0.30035846123916143,0.30484655956074524,0.3024048500944363,0.30087606069668366,0.29800779445740533,0.30141495423264325,0.30402943217167344
External Fragmentation (Vertical),1,all, ,0.5897876210416552,0.5907391121754935,0.593280167000846,0.5861334895186109,0.5940870747435523,0.5872026143922546,0.5885722179511161,0.5935367038201229,0.5901783267537174,0.5867843693179345
External Fragmentation (Vertical),2,all, ,0.7006761716482621,0.7036238083332613,0.7045655659614274,0.7052295960695334,0.7007055323646001,0.7034807390774093,0.7050813218615343,0.7123909184298723,0.708260794438121,0.7028466917543836
External Fragmentation (Vertical),3,all, ,0.7508137071312613,0.7510491686030967,0.7530660931151364,0.754939861318043,0.7505124523885967,0.75066164703058,0.7568698835479867,0.7503778140745269,0.7528245151538018,0.7511716130271828
External Fragmentation (Vertical),4,all, ,0.7752409161081552,0.7755727688438679,0.7758385088469504,0.7703297889455877,0.7720415686238927,0.778632644084155,0.7728158915358133,0.7778949747960578,0.7772086158581653,0.7802782158419356


External Fragmentation (Horizontal),0,all, ,0.2585259679115212,0.26314518511018886,0.25768693196659415,0.2523947606061878,0.2571378078890972,0.25675950751902,0.25268265262014056,0.25178761286829215,0.258129103841621,0.25747281656683957
External Fragmentation (Horizontal),1,all, ,0.6293952670940288,0.6193529294643596,0.6391120661444764,0.6174184827451716,0.6289118975167743,0.6226998977426847,0.6218647780447544,0.6290581808692031,0.6240772377338641,0.6267206572712177
External Fragmentation (Horizontal),2,all, ,0.7764153441423909,0.7811828494934157,0.7808475577927765,0.7832864838146685,0.7759398229560205,0.7763854838893353,0.7793365159642781,0.7807678609180813,0.7773828507591443,0.7768386905470119
External Fragmentation (Horizontal),3,all, ,0.843681488045894,0.8493694799014293,0.84630379757872,0.8484200458517008,0.8458368777205674,0.8478331369915449,0.8449104355325915,0.8458766250402078,0.8456240089051542,0.8440743853762203
External Fragmentation (Horizontal),4,all, ,0.8869863568135372,0.8836653963431486,0.8915933794240215,0.8885901047552933,0.8886415167155056,0.8885582022150442,0.8888189606497012,0.886952342167919,0.8852223835643215,0.8942124903235305


