Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption by OXCs (Joule),1, ,9.374450712389124E10,9.442978574115114E10,9.143187090851299E10,9.722356364435623E10,9.113511115230246E10,9.335471697014792E10,9.767284537261047E10,1.090244191901635E11,1.0834789543303311E11,1.021383019054749E11
Total energy consumption by OXCs (Joule),2, ,7.532919559080846E10,8.359556459862521E10,7.602428007794426E10,7.966605425853926E10,7.654182641826715E10,8.00220976113232E10,7.799016239357976E10,8.807303678479932E10,7.88285266139574E10,7.732905771968909E10
Total energy consumption by OXCs (Joule),3, ,6.6922267209396255E10,6.809070182398887E10,7.746016656153851E10,6.963755267186626E10,7.721779177878442E10,6.923236801981598E10,6.5618406547530495E10,6.688090750193564E10,6.706246812259391E10,6.450841336854023E10
Total energy consumption by OXCs (Joule),4, ,6.334154613995792E10,6.214652081209094E10,5.8118722625810394E10,6.037856047742812E10,6.033766126569576E10,6.429696282823878E10,6.382806807281324E10,6.089942489577495E10,6.128600703677958E10,5.730306192354914E10


Total energy consumption by Amplifiers (Joule),0, ,5.967143424471755E10,6.098580813583406E10,5.988529393083216E10,7.102730579955069E10,6.34456952467329E10,6.106979721380126E10,6.3116344986926704E10,5.834691764761289E10,6.349209390685101E10,6.252937847917534E10
Total energy consumption by Amplifiers (Joule),1, ,4.8879817494765785E10,4.9237132230022575E10,4.767397365807087E10,5.069385068979511E10,4.7519238589656E10,4.867657495650134E10,5.092811304344769E10,5.684699697066229E10,5.649424715316452E10,5.3256470267287125E10
Total energy consumption by Amplifiers (Joule),2, ,3.927779285926612E10,4.358800388755166E10,3.964022052481337E10,4.1539097192534584E10,3.991007708959942E10,4.17247436334644E10,4.066526158324436E10,4.592262625650518E10,4.110239748958591E10,4.032055151119684E10
Total energy consumption by Amplifiers (Joule),3, ,3.489429202724614E10,3.55035316773122E10,4.038891366337209E10,3.631008332983776E10,4.026253575057604E10,3.609881386508104E10,3.4214439168172813E10,3.487272644421206E10,3.4967394924257866E10,3.3635671775030346E10
Total energy consumption by Amplifiers (Joule),4, ,3.302724938396291E10,3.2404144929953907E10,3.0303989451073925E10,3.14823034146745E10,3.1460977941144314E10,3.352541823446324E10,3.3280929348952686E10,3.1753890076009365E10,3.1955459907445408E10,2.9878691505761684E10


