Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption by OXCs (Joule),1, ,3.181793523055665E11,3.1775106826124786E11,3.1644955522081146E11,3.458871025480213E11,3.280799479579017E11,3.325870858387442E11,3.28793159694503E11,3.214072122702484E11,3.29806668037256E11,3.577051921649566E11
Total energy consumption by OXCs (Joule),2, ,2.2673954997256973E11,2.143997412646524E11,2.3313405520621945E11,2.3364255715453418E11,2.448298130782015E11,2.2906267125329727E11,2.3739793624161777E11,2.4046710203013065E11,2.2976106566345206E11,2.5936616057804346E11
Total energy consumption by OXCs (Joule),3, ,1.701485076118853E11,1.756247918944063E11,1.7312928757381174E11,2.1361614724784058E11,1.7550650643094577E11,1.8104815638454184E11,1.7856268586868237E11,1.718114425542236E11,1.7949992462210922E11,1.7718580307803635E11
Total energy consumption by OXCs (Joule),4, ,1.3714008069710092E11,1.3739472045815767E11,1.4806081298597156E11,1.358481778234521E11,1.3621749856868652E11,1.5716081101998438E11,1.4447558894836664E11,1.4249826271921246E11,1.5870888040202008E11,1.4988286596461377E11


Total energy consumption by Amplifiers (Joule),0, ,1.7964458822970688E11,1.7215377744013385E11,1.6026522491200668E11,1.519589913582472E11,1.5860088466555283E11,1.790477485802165E11,1.6708489032787546E11,1.7049216309053687E11,1.6749711587021814E11,1.6007986140678864E11
Total energy consumption by Amplifiers (Joule),1, ,8.965451470872507E10,8.953383560785811E10,8.916710370277739E10,9.74618249054987E10,9.24442403527845E10,9.371423243902296E10,9.264520453121582E10,9.056404015902426E10,9.293078434010327E10,1.0079184956521666E11
Total energy consumption by Amplifiers (Joule),2, ,6.38892001343444E10,6.041216885217264E10,6.5691002354916336E10,6.58342847366122E10,6.898655716878172E10,6.454379418490763E10,6.689245110460574E10,6.7757260738970184E10,6.474058323317583E10,7.30825149086297E10
Total energy consumption by Amplifiers (Joule),3, ,4.794334317365645E10,4.9486415048681694E10,4.878324802292835E10,6.0191372811208115E10,4.945308533779008E10,5.1014575527758064E10,5.0314235762441444E10,4.8411914198668144E10,5.057832482100542E10,4.992626665787325E10
Total energy consumption by Amplifiers (Joule),4, ,3.8642442675557686E10,3.871419341625723E10,4.1719615806146095E10,3.8278418660962006E10,3.838248346575222E10,4.428375424466555E10,4.070939462465E10,4.015223646146101E10,4.471995919692181E10,4.223302207965271E10


